Country,Year,ghg_pergdp,gdp_percapita,population,fossilfuels_percapita,nuclear_percapita,renewables_percapita,yearly_oil_co2,yearly_gas_co2,yearly_flaring_co2,yearly_coal_co2,yearly_cement_co2
Germany,2005,-0.5683071133040843,-0.24009313190360135,-0.2180062549446156,-0.3648213079992118,-0.2906346999874433,-0.40724490990110235,-0.41486007160109545,-0.33123747881255383,-0.528848815648985,-0.14640691054025604,-0.37131164856001864
Germany,2006,-0.6174239537609847,-0.21257406470996343,-0.21918103240894707,-0.3267821211194702,-0.2688002812015983,-0.3644233379671098,-0.4152408219782471,-0.317799405027966,-0.5214524985772485,-0.13683215676159485,-0.3488237880249465
Germany,2007,-0.788366602656269,-0.19029276940922127,-0.22057201340575902,-0.41835541577859053,-0.43719350048294103,-0.3066390541732967,-0.4616511314878129,-0.3285022477684189,-0.5266171682566507,-0.12208670458398065,-0.2634931391452892
Germany,2008,-0.8640291445627781,-0.18289338208844252,-0.222546655487625,-0.40499194591426846,-0.3899638634346315,-0.2971135546791569,-0.43127494887165674,-0.3139089379246365,-0.5294226678355853,-0.15697724592151208,-0.330571654645453
Germany,2009,-0.8403640892869592,-0.22720652313159925,-0.22517243538531329,-0.5384005221332706,-0.47792363759117606,-0.29227111084418606,-0.44662592436635024,-0.3475162970049971,-0.5529506074861955,-0.21462307750412973,-0.409048126855174
Germany,2010,-0.8070361069724775,-0.1965281909060977,-0.22675662222734014,-0.4594048036944164,-0.44819604453097056,-0.26202720448579586,-0.44655169866105715,-0.302627124419154,-0.5525042780077286,-0.17621411162248124,-0.4188288059235101
Italy,1990,-0.3235980440344057,-0.5750646010514039,-0.5433878959737537,-0.9144071850013316,-1.298567510691379,-0.4666138724501536,-0.4822817539090033,-0.5596793222088192,-0.4590301329459547,-0.5887057103483916,-0.1559056693935913
Italy,1991,-0.4041467452736727,-0.5691247289766136,-0.5428915502837576,-0.9044695665892831,-1.298567510691379,-0.4160627572240533,-0.48573599830532893,-0.5440876936159905,-0.46336590502248987,-0.5941490264025179,-0.16776570542921154
Italy,1992,-0.487539628811112,-0.5658540910337031,-0.5424041762190134,-0.9078717740618383,-1.298567510691379,-0.41519385669564973,-0.47522481370576586,-0.5448912184627839,-0.4648961775200906,-0.6060493142120511,-0.11116098798647862
Italy,1993,-0.21052356574424427,-0.569225251946593,-0.5419653247471813,-0.9360239084043389,-1.298567510691379,-0.4179825623464718,-0.4779244300982782,-0.5383575063247167,-0.45061363420915107,-0.6150652771063513,-0.2930662160133293
Italy,1994,-0.2755386559704157,-0.5607946991079888,-0.5418189988029309,-0.9475179992539996,-1.298567510691379,-0.4037025370651929,-0.4831793351230107,-0.549395827452383,-0.45762738315648743,-0.611007641951449,-0.31416783857021197
Italy,1995,-0.2916192251177751,-0.5492367870002941,-0.5418075757758495,-0.8578412204498994,-1.298567510691379,-0.4358020233351134,-0.4712386184215062,-0.5220164623023871,-0.46196315523302267,-0.6055206468254992,-0.19710774263422007
Italy,1996,-0.4534094412330432,-0.5440186341789173,-0.5416057015715884,-0.8646270963654573,-1.298567510691379,-0.4127212839807393,-0.4744811821027367,-0.513150634279014,-0.4715911196970935,-0.6128873482147446,-0.2990732472521499
Italy,1997,-0.36957899118819276,-0.536384065715461,-0.5412254562940079,-0.8345132640147579,-1.298567510691379,-0.41217292208106737,-0.4732042250616756,-0.5030511115413722,-0.46132554169235573,-0.6119520136077681,-0.28012799488356166
Italy,1998,-0.36739115865113703,-0.528693042878278,-0.5410185781973527,-0.7815688585840882,-1.298567510691379,-0.4102475364144102,-0.46946819789525573,-0.47969748703793685,-0.46929571095069245,-0.6108660615117457,-0.2566389624753528
Italy,1999,-0.3266610095862838,-0.5216623058382373,-0.5408976255256458,-0.7320989897093857,-1.298567510691379,-0.38668236665839767,-0.47649077434604276,-0.4513008648428423,-0.5189020444145807,-0.6122622856352031,-0.1997261921485778
Italy,2000,-0.17788839706649698,-0.5050187687281381,-0.5405717154432532,-0.7045097970294582,-1.298567510691379,-0.3889255496338096,-0.4830707456652671,-0.43571194172087824,-0.5091465572423765,-0.6091113677643586,-0.15467345785742295
Italy,2001,-0.21515447794767875,-0.4961177792895141,-0.5401674615910548,-0.7084936464030906,-1.298567510691379,-0.3748203814053452,-0.48829128693754914,-0.43491653328667873,-0.5213887372231818,-0.6046048924920989,-0.1136254110588153
Italy,2002,-0.31532074426921175,-0.4949368449504723,-0.539094531027471,-0.7176804072501209,-1.298567510691379,-0.40618039661148747,-0.4802034341607962,-0.43286578637129364,-0.5358625645963214,-0.6031107670007615,-0.12178881248593038
Italy,2003,-0.5457724381724108,-0.49429053031032083,-0.5358825122819803,-0.6618693842238402,-1.298567510691379,-0.41584844474442795,-0.4825772821800777,-0.3972644952637051,-0.5013676720462398,-0.5954142133105053,-0.07180723205010243
Italy,2004,-0.6741982080975798,-0.48764419825996497,-0.5311802939460459,-0.6576172831530362,-1.298567510691379,-0.3819673942023543,-0.49240119173063057,-0.3820110505289544,-0.5484235513474601,-0.5847339271622456,-0.03561101817515737
Italy,2005,-0.7026400310793035,-0.4837715867602602,-0.527589697887106,-0.6511773079134981,-1.298567510691379,-0.4108766693491167,-0.5053040935007495,-0.3522562819598185,-0.554098311859396,-0.5861678056579646,-0.035996084280210165
Italy,2006,-0.7737081246579958,-0.4752232947209876,-0.5253847503941945,-0.6739393134522843,-1.298567510691379,-0.40301436784669725,-0.5079734697911054,-0.36057831033940224,-0.5519304258211283,-0.5868877572556049,-0.03052814558846306
Italy,2007,-0.8986698263994932,-0.4679970605692962,-0.5216655694640376,-0.7096376388672487,-1.298567510691379,-0.4184872589350826,-0.5182221153219465,-0.35806492790616645,-0.5560111524813968,-0.5870564488433366,0.003357671656166291
Italy,2008,-0.9869853331453078,-0.4727413335445155,-0.5167574333744328,-0.7719645665497549,-1.298567510691379,-0.36456853002160244,-0.5327607317087099,-0.3482467741384456,-0.5516116190507949,-0.5908761083655459,-0.13426495428963497
Italy,2009,-0.9975963209500279,-0.4985343931040331,-0.5133629747340296,-0.9346199396359115,-1.298567510691379,-0.3106285558783011,-0.5612125441876373,-0.38371008623193836,-0.5748207519310716,-0.6145998690651988,-0.3488237880249465
Italy,2010,-0.9633567417451064,-0.49060826343883746,-0.51106254893069,-0.9066666296683173,-1.298567510691379,-0.275553073060563,-0.568023439923329,-0.3558085652050699,-0.565575355591401,-0.6058188694538105,-0.35382964739063033
Japan,1990,-0.44232442304529435,-0.08916108801000233,0.30018193079523914,-0.6636396734689536,-0.4844186363626295,-0.4184240127670433,0.08731118845924166,-0.478839852773851,-0.6199000292562244,-0.21467880597507685,1.6042314968018667
Japan,1991,-0.5902583664258764,-0.0593605110625325,0.30632307146066984,-0.6414586112591169,-0.42829731580086083,-0.4021053265614887,0.09061285779468709,-0.4568660184113741,-0.7034274030835941,-0.2148896704597414,1.7309952585851844
Japan,1992,-0.6727396530728759,-0.051712689817179025,0.3121483098284961,-0.6124375606619575,-0.39640784896171305,-0.43357264486387104,0.10922426612188525,-0.45296743489545077,-0.703873732562061,-0.22339654624106572,1.8325756970980613
Japan,1993,-0.808786373002122,-0.05642290190434462,0.3172532909577842,-0.6369488445456978,-0.2720218050934079,-0.4076538560990901,0.08918195114264761,-0.4454381094792019,-0.7036186871457942,-0.21516831281447668,1.798535853411411
Japan,1994,-0.8516678907284135,-0.047438258924660796,0.32166328703234254,-0.5342426208271186,-0.23124496836072952,-0.46479471293260255,0.1441268422108231,-0.42799052787324104,-0.702407221418527,-0.20365209960201108,1.8811710395557002
Japan,1995,-0.9292994819182728,-0.023398257537266817,0.325378298052171,-0.4966791078302612,-0.11580405938325797,-0.4325746085836969,0.14042930244714774,-0.41451187202568374,-0.683852667385119,-0.18872891878732256,1.8692339902990698
Japan,1996,-0.816261467503729,0.005989922563426687,0.32897958424486184,-0.4644090520018595,-0.07886578174085533,-0.434415209139639,0.13620393544583265,-0.39882014101086394,-0.6807921223899176,-0.17542788832966055,1.9014255166814675
Japan,1997,-0.7392497621993688,0.015479905264052194,0.3327704118161154,-0.4631799949470325,0.019967127865864395,-0.4123060719085186,0.11666195670227453,-0.3864182625674271,-0.6800907474951841,-0.16714995113168638,1.698572692539755
Japan,1998,-0.6876533782004722,0.003073369226944709,0.3371045913392486,-0.5318561909650652,0.037384962491016346,-0.4075024960746493,0.09489733045021707,-0.3774956196558968,-0.6853829398827197,-0.20049967555627607,1.3471613650687475
Japan,1999,-0.7885489220343569,-0.00014648702832207404,0.34002352856911383,-0.47487796138544847,-0.0005642026041925996,-0.41827177160403844,0.1079280653794519,-0.35186669415531263,-0.6827049630119185,-0.17358433026373618,1.3199756980520334
